               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078731,            0.045948,            0.033601,             0.25933,             0.32626,             0.22021,             0.09356,            0.048324,            0.019973,              0.0174,            0.070179,           0.0033135,           0.0033135
                   1,            0.053559,            0.043355,            0.020452,             0.23119,             0.27926,             0.21638,             0.10037,            0.043816,            0.019833,            0.013843,            0.039915,           0.0063836,           0.0063836
                   2,            0.050525,            0.041778,             0.01999,             0.27081,             0.38293,             0.24208,             0.10064,            0.044016,            0.020787,            0.014768,           0.0093881,           0.0091897,           0.0091897
                   3,            0.048515,            0.042919,            0.019453,             0.29274,             0.39221,             0.28401,             0.14965,            0.039373,            0.019865,             0.01742,            0.008812,            0.008812,            0.008812
                   4,            0.046917,            0.043464,            0.019971,             0.16256,             0.27992,             0.14508,            0.061749,            0.044282,            0.023305,            0.026146,            0.008812,            0.008812,            0.008812
                   5,            0.045199,            0.042463,            0.019046,             0.27696,             0.43303,             0.29389,             0.14671,            0.038631,             0.02122,            0.018623,            0.008416,            0.008416,            0.008416
                   6,            0.044713,            0.042602,             0.01898,              0.3447,             0.42472,             0.35118,             0.18388,            0.037942,            0.019673,            0.012789,             0.00802,             0.00802,             0.00802
                   7,            0.043222,            0.043536,            0.016969,             0.34419,             0.31705,              0.2711,             0.13685,            0.039163,            0.021445,             0.01304,            0.007624,            0.007624,            0.007624
                   8,            0.042629,            0.041045,            0.016455,             0.36963,             0.43971,             0.35142,             0.18638,            0.037369,            0.020192,            0.015139,            0.007228,            0.007228,            0.007228
                   9,            0.041892,            0.042002,            0.015684,             0.43258,             0.42453,             0.39924,             0.22335,            0.035318,            0.019272,            0.012018,            0.006832,            0.006832,            0.006832
                  10,            0.041096,            0.040962,            0.015386,             0.41404,             0.43149,             0.36882,             0.20155,            0.036326,            0.020417,            0.013051,            0.006436,            0.006436,            0.006436
                  11,            0.040037,            0.040382,            0.013967,             0.40259,             0.45303,             0.36449,             0.19572,             0.03645,            0.020644,            0.011532,             0.00604,             0.00604,             0.00604
                  12,            0.039476,            0.040736,             0.01308,             0.46006,             0.48558,             0.40726,             0.23413,            0.035764,            0.019489,            0.011968,            0.005644,            0.005644,            0.005644
                  13,            0.039331,            0.040142,            0.011989,             0.37993,             0.45345,             0.37791,             0.21636,             0.03638,            0.020009,            0.012045,            0.005248,            0.005248,            0.005248
                  14,            0.037892,            0.039862,             0.01226,             0.38996,             0.44733,               0.368,             0.20594,             0.03631,            0.020505,            0.017594,            0.004852,            0.004852,            0.004852
                  15,            0.036688,            0.038386,            0.011429,             0.50572,             0.47264,             0.41858,             0.24424,            0.035661,            0.019568,            0.012664,            0.004456,            0.004456,            0.004456
                  16,            0.036998,            0.038564,            0.011447,             0.44853,              0.5106,             0.43637,             0.25846,            0.035731,            0.020669,            0.014046,             0.00406,             0.00406,             0.00406
                  17,             0.03583,            0.037561,            0.010374,             0.44129,             0.49949,             0.41188,             0.23801,             0.03557,            0.019936,             0.01085,            0.003664,            0.003664,            0.003664
                  18,            0.036315,            0.037938,            0.010319,             0.44305,             0.50007,              0.4471,             0.27173,            0.034389,            0.020272,            0.011842,            0.003268,            0.003268,            0.003268
                  19,            0.035481,            0.037565,            0.010216,             0.46017,             0.50519,             0.45549,             0.27872,            0.035678,            0.020582,            0.012255,            0.002872,            0.002872,            0.002872
                  20,            0.034611,            0.036147,           0.0095246,             0.50752,             0.45613,             0.45606,              0.2719,             0.03425,            0.020635,            0.010736,            0.002476,            0.002476,            0.002476
                  21,            0.033776,            0.036603,           0.0082333,             0.47647,             0.46319,             0.44536,             0.27641,            0.034778,            0.020002,            0.011149,             0.00208,             0.00208,             0.00208
                  22,            0.032411,            0.034814,           0.0091465,             0.48224,             0.50636,             0.46114,             0.27593,            0.035394,            0.020024,            0.010475,            0.001684,            0.001684,            0.001684
                  23,            0.032876,            0.036902,           0.0075363,             0.46665,             0.51991,             0.48659,              0.3021,            0.034356,            0.020267,             0.01103,            0.001288,            0.001288,            0.001288
                  24,            0.032038,            0.034908,           0.0075977,               0.512,             0.52274,             0.49942,             0.31446,            0.034094,            0.019999,             0.01197,            0.000892,            0.000892,            0.000892
